url,name,species
https://www.bonsaiempire.com/tree-species/ficus,Ficus,Ficus retusa or Ginseng
https://www.bonsaiempire.com/tree-species/juniper,Juniper,Juniperus
https://www.bonsaiempire.com/tree-species/maple,Japanese maple,Acer palmatum
https://www.bonsaiempire.com/tree-species/ficus,Ficus,"Ficus retusa or ginseng, Fig"
https://www.bonsaiempire.com/tree-species/jade-tree,Dwarf Jade,Crassula or portulacaria
https://www.bonsaiempire.com/tree-species/carmona,Fukien tea,Carmona
https://www.bonsaiempire.com/tree-species/azalea,Azalea,Rhododendron
https://www.bonsaiempire.com/tree-species/bougainvillea,Bougainvillea,Bougainvillea
https://www.bonsaiempire.com/tree-species/serissa,Snow rose,Serissa
https://www.bonsaiempire.com/tree-species/buxus,Box or boxwood,Buxus
https://www.bonsaiempire.com/tree-species/olive,Olive,Olea europaea
https://www.bonsaiempire.com/tree-species/sageretia-theezans,Sweet plum,Sageretia theezans
https://www.bonsaiempire.com/tree-species/money-tree,Money tree,Pachira aquatica
https://www.bonsaiempire.com/tree-species/ligustrum,Privet,Ligustrum
https://www.bonsaiempire.com/tree-species/cotoneaster,Cotoneaster,Cotoneaster
https://www.bonsaiempire.com/tree-species/hawaiian-umbrella,Hawaiian umbrella,Schefflera arboricola
https://www.bonsaiempire.com/tree-species/citrus-bonsai,Citrus or Lemon,Citrus limon and sinensis
https://www.bonsaiempire.com/tree-species/fuchsia,Fuchsia,Fuchsia
https://www.bonsaiempire.com/tree-species/brush-cherry,Brush cherry,Eugenia myrtifolia and syzygium
https://www.bonsaiempire.com/tree-species/brazilian-rain-tree,Brazilian rain tree,Pithecellobium tortum
https://www.bonsaiempire.com/tree-species/japanese-holly,Japanese holly,Ilex crenata
https://www.bonsaiempire.com/tree-species/premna,Premna,Premna
https://www.bonsaiempire.com/tree-species/gardenia,Jasmine,Gardenia
https://www.bonsaiempire.com/tree-species/crepe-myrtle,Crepe myrtle,Lagerstroemia indica
https://www.bonsaiempire.com/tree-species/myrtle,Myrtle,Myrtus communis
https://www.bonsaiempire.com/tree-species/pyracantha,Firethorn,Pyracantha
https://www.bonsaiempire.com/tree-species/water-jasmine,Water jasmine,Wrightia religiosa
https://www.bonsaiempire.com/tree-species/acacia,Wattle,Acacia
https://www.bonsaiempire.com/tree-species/camellia,Camellia,Camellia
https://www.bonsaiempire.com/tree-species/eucalyptus,Eucalypt,Eucalyptus
https://www.bonsaiempire.com/tree-species/bamboo-bonsai,Bamboo,Bambusoideae
https://www.bonsaiempire.com/tree-species/hibiscus,Hibiscus,Hibiscus
https://www.bonsaiempire.com/tree-species/maple,Japanese maple,Acer palmatum
https://www.bonsaiempire.com/tree-species/chinese-elm,Chinese elm,Ulmus parviflora
https://www.bonsaiempire.com/tree-species/cherry-prunus,Cherry,"Prunus, Sakura"
https://www.bonsaiempire.com/tree-species/oak,Oak,Quercus
https://www.bonsaiempire.com/tree-species/wisteria,Wisteria,Wisteria
https://www.bonsaiempire.com/tree-species/zelkova,Japanese elm,Zelkova
https://www.bonsaiempire.com/tree-species/dwarf-pomegranate,Pomegranate,Punica granatum
https://www.bonsaiempire.com/tree-species/jacaranda,Jacaranda,Jacaranda mimosifolia
https://www.bonsaiempire.com/tree-species/trident-maple,Trident maple,Acer buergerianum
https://www.bonsaiempire.com/tree-species/crabapple,Apple and crabapple,Malus
https://www.bonsaiempire.com/tree-species/adenium,Desert rose,Adenium obesum
https://www.bonsaiempire.com/tree-species/hornbeam-beech,Hornbeam and beech,Carpinus and fagus
https://www.bonsaiempire.com/tree-species/magnolia,Star magnolia,Magnolia stellata
https://www.bonsaiempire.com/tree-species/chinese-pepper,Chinese pepper,Xanthoxylum piperitum
https://www.bonsaiempire.com/tree-species/celtis,Hackberry,Celtis
https://www.bonsaiempire.com/tree-species/ginkgo,Ginkgo,Ginkgo biloba
https://www.bonsaiempire.com/tree-species/flame-tree,Flame tree,Delonix regia or Royal poinciana
https://www.bonsaiempire.com/tree-species/japanese-winterberry,Japanese winterberry,Ilex serrata
https://www.bonsaiempire.com/tree-species/willow,Weeping willow,Salix
https://www.bonsaiempire.com/tree-species/baobab,Baobab,Baobab
https://www.bonsaiempire.com/tree-species/birch,Birch,Betula
https://www.bonsaiempire.com/tree-species/chinese-quince,Chinese quince,Pseudocydonia
https://www.bonsaiempire.com/tree-species/cercis,Judas tree,Cercis
https://www.bonsaiempire.com/tree-species/hawthorn,Hawthorn,Crataegus
https://www.bonsaiempire.com/tree-species/albizia-mimosa,Silk tree,Albizia or mimosa
https://www.bonsaiempire.com/tree-species/rose,Rose,Rosa
https://www.bonsaiempire.com/tree-species/jabuticaba,Jabuticaba,Plinia cauliflora
https://www.bonsaiempire.com/tree-species/ash,Ash,Prunus mume
https://www.bonsaiempire.com/tree-species/juniper,Juniper,Juniperus
https://www.bonsaiempire.com/tree-species/pines,Pines,Pinus
https://www.bonsaiempire.com/tree-species/spruce,Spruce,Picea
https://www.bonsaiempire.com/tree-species/bald-cypress,Bald cypress,Taxodium distichum
https://www.bonsaiempire.com/tree-species/larch,Larch and Golden Larch,Larix
https://www.bonsaiempire.com/tree-species/redwood,Redwoods,Metasequoia and sequoia
https://www.bonsaiempire.com/tree-species/cedar,Cedar,Cedrus
https://www.bonsaiempire.com/tree-species/podocarpus,Buddhist pine,Podocarpus
https://www.bonsaiempire.com/tree-species/yew,Yew,Taxus or taxaceae
https://www.bonsaiempire.com/tree-species/hinoki,Hinoki cypress,Chamaecyparis
https://www.bonsaiempire.com/tree-species/japanese-cedar,Japanese cedar,Cryptomeria
https://www.bonsaiempire.com/tree-species/hemlock,Hemlock,Tsuga
